time,open,high,low,close,vwap,volume,count
2025-06-17 11:00:00,325.54,327.47,325.54,327.02,326.72,91.73180773,113
2025-06-17 11:15:00,326.64,327.49,325.71,327.09,326.95,42.16151736,60
2025-06-17 11:30:00,326.76,326.76,325.05,325.29,326.36,13.67121114,40
2025-06-17 11:45:00,325.08,326.01,324.20,324.20,325.41,12.99611734,36
2025-06-17 12:00:00,323.98,325.95,323.97,324.29,324.92,41.62693104,53
2025-06-17 12:15:00,324.51,325.35,323.56,324.30,324.42,33.62757375,48
2025-06-17 12:30:00,324.51,324.56,323.36,324.25,323.98,17.67234232,34
2025-06-17 12:45:00,324.45,324.90,323.23,323.23,324.14,34.49614630,51
2025-06-17 13:00:00,323.36,324.69,323.35,324.15,324.05,73.53346198,85
2025-06-17 13:15:00,324.27,324.27,323.54,323.60,323.94,4.34023248,16
2025-06-17 13:30:00,323.72,324.11,322.53,322.53,323.60,39.58815695,44
2025-06-17 13:45:00,322.51,323.46,322.10,323.34,322.77,19.55827896,21
2025-06-17 14:00:00,323.63,325.88,323.22,325.88,324.61,35.26524125,62
2025-06-17 14:15:00,325.81,325.97,324.64,324.64,325.60,18.53637673,31
2025-06-17 14:30:00,325.34,326.49,325.01,326.05,325.81,66.88952476,99
2025-06-17 14:45:00,326.21,329.97,326.21,329.70,328.40,206.45009252,180
2025-06-17 15:00:00,329.58,329.81,325.00,325.00,326.27,168.62654450,187
2025-06-17 15:15:00,324.99,325.00,323.08,324.35,324.25,71.80805618,88
2025-06-17 15:30:00,323.93,326.21,323.93,324.83,325.08,81.56383070,105
2025-06-17 15:45:00,325.00,325.60,323.99,324.64,324.64,110.18304857,81
2025-06-17 16:00:00,324.92,325.30,323.06,323.76,324.06,55.41477247,70
2025-06-17 16:15:00,324.18,325.07,323.02,324.43,323.69,56.42712813,80
2025-06-17 16:30:00,324.15,326.34,323.84,324.89,325.09,16.05300089,29
2025-06-17 16:45:00,325.38,325.38,322.11,322.82,323.09,71.62757208,239
2025-06-17 17:00:00,322.87,323.11,317.51,317.86,319.79,202.19035315,205
2025-06-17 17:15:00,317.86,321.40,317.86,321.35,320.27,56.26887622,54
2025-06-17 17:30:00,321.38,322.08,318.02,318.02,319.56,177.75264617,86
2025-06-17 17:45:00,318.37,319.30,316.75,318.59,317.41,90.57544447,102
2025-06-17 18:00:00,317.48,319.52,317.48,318.93,318.56,68.99970881,65
2025-06-17 18:15:00,318.75,320.96,318.71,319.85,319.74,23.51796357,47
2025-06-17 18:30:00,319.96,321.99,319.21,321.82,320.49,66.81330043,92
2025-06-17 18:45:00,321.94,321.97,320.82,320.82,321.33,17.05402057,36
2025-06-17 19:00:00,321.81,322.27,320.27,320.27,321.68,18.67929237,18
2025-06-17 19:15:00,320.79,322.52,320.61,322.43,322.14,16.07069993,20
2025-06-17 19:30:00,322.16,322.99,322.16,322.35,322.42,19.72427146,23
2025-06-17 19:45:00,322.35,324.49,322.35,322.84,323.53,40.94250465,73
2025-06-17 20:00:00,322.73,322.97,319.51,320.60,321.06,285.59696546,122
