time,open,high,low,close,vwap,volume
2024-10-22,155.23,158.43,154.42,157.07,156.53,6416.46737074
2024-10-23,157.09,158.19,154.79,156.62,156.36,5171.80146744
2024-10-24,156.56,158.97,154.56,157.33,157.10,6423.29650496
2024-10-25,157.34,159.67,154.96,157.76,157.50,8765.13634935
2024-10-26,157.47,160.86,156.62,160.15,158.78,4813.63889047
2024-10-27,160.12,164.06,159.8,162.88,161.91,4317.375637
2024-10-28,163.09,164.27,159.93,163.47,162.12,6818.02562063
2024-10-29,163.24,166.0,161.36,162.41,164.07,7222.80471022
2024-10-30,162.29,165.0,161.01,161.83,163.26,6973.54034195
2024-10-31,161.87,162.08,154.81,156.0,158.10,5797.90979334
2024-11-01,155.63,159.78,151.51,156.38,155.67,5207.64152867
2024-11-02,156.38,159.98,152.89,154.15,156.08,3125.34029878
2024-11-03,154.16,158.26,152.51,157.03,156.11,3547.80207266
2024-11-04,157.0,161.66,155.45,158.24,158.92,5361.14256865
2024-11-05,158.34,163.01,157.16,158.73,159.67,5101.76903711
2024-11-06,158.6,163.5,157.68,160.93,161.32,6109.97778058
2024-11-07,161.33,168.56,160.9,163.41,165.24,7966.03100523
2024-11-08,163.4,167.27,163.21,165.74,164.70,3924.1624804
2024-11-09,165.79,165.92,161.26,163.66,163.27,2285.09284651
2024-11-10,163.54,166.49,161.56,162.26,164.24,3660.66279735
2024-11-11,161.69,162.16,156.0,157.21,159.26,9034.68332104
2024-11-12,157.11,159.99,149.78,150.5,155.52,17382.61167385
2024-11-13,150.37,152.28,145.18,150.78,148.89,17483.62181765
2024-11-14,150.64,150.83,143.6,147.47,146.24,17066.59652131
2024-11-15,147.42,150.16,140.61,141.4,144.67,13383.03820841
2024-11-16,141.55,152.43,141.52,150.78,147.16,7724.77132036
2024-11-17,150.63,157.96,147.01,156.43,151.75,8010.37689311
2024-11-18,156.34,160.6,152.81,156.0,156.50,9771.97730454
2024-11-19,156.0,166.89,154.71,162.51,160.08,13011.05392497
2024-11-20,162.57,163.76,157.2,160.35,159.50,9255.91168068
2024-11-21,160.35,163.8,159.29,160.63,161.18,7277.58000061
2024-11-22,160.57,162.58,157.16,162.52,159.87,7282.70114515
2024-11-23,162.53,165.0,159.42,161.46,162.52,6096.69762192
2024-11-24,161.32,166.2,157.63,162.12,162.23,5262.99832373
2024-11-25,162.19,166.37,155.61,156.13,161.60,7061.53108558
2024-11-26,156.17,164.12,151.45,160.21,156.11,9210.72193996
2024-11-27,160.02,160.22,150.0,156.09,155.46,13627.29518246
2024-11-28,156.09,160.46,155.43,159.19,157.83,3422.17503376
2024-11-29,159.39,160.43,155.51,159.52,158.35,2901.85075171
2024-11-30,159.49,163.73,158.0,162.21,160.36,3846.16455744
2024-12-01,162.2,165.0,161.0,162.93,163.26,7421.84222268
2024-12-02,163.05,178.0,160.18,173.8,168.64,23737.68442861
2024-12-03,173.8,217.99,166.12,204.03,184.01,55881.91609553
2024-12-04,204.93,214.15,181.0,196.22,197.18,54127.021612
